,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25,C4frac,g1,lpx,psi50X,gpmax,C,bexp,bc,R2_VOD,R2_ET,N_VOD,N_ET,obsfilter,lcfilter
5227,5227,5227,5227,189,242,86.0,8.0,6.0,1.0,2.9297322041657594,BSk,7,3.0,54.0,0.01,1.8991363288240575,2.834841460841378,8.556469009006545,0.0388151769815789,19.414409757992203,7.6591028831487975,0.060546254268051006,0.4614831848403922,-0.8682812521828478,854.0,80.0,1,0
5230,5230,5230,5230,189,245,32.0,49.0,19.0,4.0,2.4872205691615363,BSk,10,6.0,62.2,0.0,0.2173363749093959,0.511479472560006,0.8882086992829239,0.04673110082911712,19.763453811171416,9.939570814204188,0.20536144993784325,0.22735954944097825,-0.3745498312356845,723.0,63.0,1,1
5232,5232,5232,5232,189,247,76.0,16.0,8.0,2.0,3.79186694132909,BSk,7,3.0,54.0,0.0,3.5797055709065164,3.0383188488425894,3.219568547869543,0.01177893383425008,1.368698268764996,3.2372227100396076,0.09651434702323049,0.3745283730095583,-0.6511824125985122,855.0,85.0,1,0
5233,5233,5233,5233,189,248,76.0,16.0,8.0,2.0,2.426184481574751,BSk,7,3.0,54.0,0.0,4.007120927788187,0.6478828194530617,0.7271177504094282,0.07802393940580546,12.552449811023578,1.7075577452669266,0.060318502024906594,0.4897297878998239,-0.7646891925536965,879.0,80.0,1,0
5234,5234,5234,5234,189,249,86.0,8.0,6.0,1.0,2.967879758907486,BSk,7,3.0,54.0,0.0,6.084126479083222,0.8003763407398071,0.8529717683994454,0.07295583376210191,8.002666434369061,1.6246459888857645,0.7220747255022405,0.45200220101181876,-0.19666929548679235,916.0,82.0,1,0
5235,5235,5235,5235,189,250,86.0,8.0,6.0,1.0,2.624551766231832,BSk,10,6.0,62.2,0.0,3.078167635372094,4.10800518403289,8.506359170324766,5.898155216289469,20.556709683579793,4.223958024359387,0.15195239355633058,0.47785587404757623,-1.6767240174076634,870.0,79.0,1,1
5236,5236,5236,5236,189,251,86.0,8.0,6.0,1.0,2.800030518043826,BSk,10,6.0,62.2,0.0,1.0485401934321397,7.430524417128701,12.288376121427893,0.04631979661036462,20.637024572667737,9.994396361189807,0.8822469033275706,0.4861164122475935,-2.977551220234822,859.0,74.0,1,1
5238,5238,5238,5238,189,253,32.0,49.0,19.0,4.0,2.456702525368144,BSk,10,6.0,62.2,0.03,7.606098795981586,4.632262911008409,11.091104822110605,5.302735641181035,0.14571720130433002,9.867234016582564,0.28486417544030124,0.3410702713275733,-0.25936971843515866,729.0,70.0,1,0
5239,5239,5239,5239,189,254,32.0,49.0,19.0,4.0,2.4948500801098987,BSk,10,6.0,62.2,0.03,0.4033466828946559,0.20715501038997328,0.22824082812480204,0.2635475846741141,22.34513706128672,3.906577321284997,0.19073300321419914,0.5591445743381868,-0.20323988058190667,725.0,65.0,1,0
5240,5240,5240,5240,189,255,86.0,8.0,6.0,1.0,2.6703288319218927,BSk,10,6.0,62.2,0.03,1.923091737857706,0.3693521296044376,0.37707543819345307,0.12337568986065703,11.31611674037749,9.429404474108033,0.24249568441862113,0.5145488573257473,-0.3287463572570548,825.0,71.0,1,0
5241,5241,5241,5241,189,256,86.0,8.0,6.0,1.0,2.5787747005417145,BSk,7,3.0,54.0,0.0,1.7990231088615511,0.4503305869236164,0.477767288339015,0.11204200393921307,12.435243481800347,1.6085078726009998,0.46524094472495403,0.42741841710557704,-0.2896495464846922,879.0,79.0,1,0
5242,5242,5242,5242,189,257,86.0,8.0,6.0,1.0,2.6932173647669515,BSk,10,6.0,62.2,0.0,0.05302024248763622,8.03494791084727,10.098708130731742,4.220047339563138,10.605555277109412,9.851820552388439,0.09320614476994411,0.3963931795824255,-0.25342397256131566,891.0,78.0,1,1
